Time, Data
0:0:10:178, 3022 
0:0:10:193, 3108 
0:0:10:208, 3109 
0:0:10:224, 3066 
0:0:10:240, 2954 
0:0:10:256, 2841 
0:0:10:272, 2678 
0:0:10:288, 2537 
0:0:10:303, 2389 
0:0:10:319, 2215 
0:0:10:335, 2088 
0:0:10:351, 1991 
0:0:10:366, 1923 
0:0:10:381, 1915 
0:0:10:397, 1959 
0:0:10:413, 2020 
0:0:10:428, 2093 
0:0:10:443, 2123 
0:0:10:459, 2122 
0:0:10:475, 2098 
0:0:10:490, 2056 
0:0:10:506, 1997 
0:0:10:522, 1937 
0:0:10:537, 1880 
0:0:10:553, 1786 
0:0:10:568, 1712 
0:0:10:584, 1635 
0:0:10:600, 1545 
0:0:10:616, 1462 
0:0:10:632, 1408 
0:0:10:648, 1359 
0:0:10:663, 1313 
0:0:10:678, 1273 
0:0:10:694, 1232 
0:0:10:710, 1187 
0:0:10:726, 1159 
0:0:10:742, 1141 
0:0:10:757, 1125 
0:0:10:772, 1116 
0:0:10:787, 1172 
0:0:10:803, 1362 
0:0:10:819, 1713 
0:0:10:835, 2268 
0:0:10:851, 2767 
0:0:10:867, 3075 
0:0:10:883, 3237 
0:0:10:898, 3242 
0:0:10:913, 3192 
0:0:10:928, 3099 
0:0:10:944, 2968 
0:0:10:960, 2888 
0:0:10:975, 2781 
0:0:10:990, 2647 
0:0:11:6, 2522 
0:0:11:22, 2356 
0:0:11:38, 2237 
0:0:11:53, 2129 
0:0:11:69, 2089 
0:0:11:84, 2100 
0:0:11:100, 2121 
0:0:11:115, 2152 
0:0:11:130, 2180 
0:0:11:145, 2181 
0:0:11:160, 2167 
0:0:11:175, 2135 
0:0:11:191, 2088 
0:0:11:207, 2024 
0:0:11:223, 1964 
0:0:11:239, 1895 
0:0:11:254, 1803 
0:0:11:269, 1725 
0:0:11:284, 1650 
0:0:11:300, 1563 
0:0:11:316, 1485 
0:0:11:332, 1431 
0:0:11:348, 1365 
0:0:11:363, 1333 
0:0:11:379, 1284 
0:0:11:395, 1255 
0:0:11:410, 1235 
0:0:11:426, 1215 
0:0:11:442, 1195 
0:0:11:458, 1175 
0:0:11:474, 1168 
0:0:11:489, 1207 
0:0:11:505, 1404 
0:0:11:521, 1740 
0:0:11:537, 2180 
0:0:11:553, 2618 
0:0:11:569, 2968 
0:0:11:585, 3226 
0:0:11:600, 3323 
0:0:11:615, 3332 
0:0:11:630, 3300 
0:0:11:646, 3252 
0:0:11:662, 3189 
0:0:11:678, 3098 
0:0:11:693, 3010 
0:0:11:709, 2913 
0:0:11:725, 2837 
0:0:11:741, 2761 
0:0:11:756, 2656 
0:0:11:771, 2540 
0:0:11:787, 2429 
0:0:11:803, 2349 
0:0:11:819, 2293 
0:0:11:834, 2260 
0:0:11:849, 2252 
0:0:11:865, 2253 
0:0:11:881, 2251 
0:0:11:897, 2246 
0:0:11:913, 2229 
0:0:11:929, 2207 
0:0:11:945, 2163 
0:0:11:961, 2103 
0:0:11:977, 2043 
0:0:11:993, 1973 
0:0:12:9, 1899 
0:0:12:25, 1822 
0:0:12:41, 1728 
0:0:12:56, 1680 
0:0:12:72, 1633 
0:0:12:87, 1584 
0:0:12:103, 1540 
0:0:12:118, 1489 
0:0:12:134, 1438 
0:0:12:150, 1395 
0:0:12:166, 1368 
0:0:12:182, 1347 
0:0:12:198, 1322 
0:0:12:214, 1305 
0:0:12:230, 1284 
0:0:12:246, 1261 
0:0:12:262, 1247 
0:0:12:278, 1241 
0:0:12:294, 1238 
0:0:12:309, 1271 
0:0:12:324, 1402 
0:0:12:340, 1681 
0:0:12:356, 2073 
0:0:12:372, 2582 
0:0:12:387, 2838 
0:0:12:403, 3062 
0:0:12:419, 3208 
0:0:12:434, 3246 
0:0:12:450, 3235 
0:0:12:466, 3176 
0:0:12:482, 3077 
0:0:12:497, 2990 
0:0:12:513, 2897 
0:0:12:529, 2807 
0:0:12:545, 2698 
0:0:12:561, 2587 
0:0:12:577, 2503 
0:0:12:592, 2418 
0:0:12:607, 2319 
0:0:12:622, 2268 
0:0:12:638, 2232 
0:0:12:654, 2202 
0:0:12:670, 2195 
0:0:12:686, 2196 
0:0:12:702, 2201 
0:0:12:718, 2209 
0:0:12:733, 2206 
0:0:12:748, 2186 
0:0:12:764, 2154 
0:0:12:779, 2108 
0:0:12:795, 2039 
0:0:12:811, 1990 
0:0:12:827, 1920 
0:0:12:842, 1847 
0:0:12:857, 1792 
0:0:12:873, 1724 
0:0:12:889, 1676 
0:0:12:905, 1626 
0:0:12:921, 1561 
0:0:12:937, 1500 
0:0:12:953, 1456 
0:0:12:969, 1420 
0:0:12:984, 1388 
0:0:13:0, 1359 
0:0:13:16, 1344 
0:0:13:32, 1327 
0:0:13:48, 1307 
0:0:13:64, 1281 
0:0:13:80, 1263 
0:0:13:95, 1247 
0:0:13:110, 1230 
0:0:13:126, 1209 
0:0:13:142, 1183 
0:0:13:157, 1168 
0:0:13:173, 1190 
0:0:13:188, 1299 
0:0:13:204, 1555 
0:0:13:219, 1840 
0:0:13:234, 2268 
0:0:13:250, 2660 
0:0:13:266, 2960 
0:0:13:281, 3138 
0:0:13:297, 3225 
0:0:13:312, 3221 
0:0:13:327, 3173 
0:0:13:343, 3064 
0:0:13:359, 2968 
0:0:13:375, 2873 
0:0:13:391, 2749 
0:0:13:407, 2641 
0:0:13:423, 2552 
0:0:13:439, 2463 
0:0:13:455, 2350 
0:0:13:471, 2253 
0:0:13:487, 2189 
0:0:13:503, 2157 
0:0:13:519, 2154 
0:0:13:535, 2170 
0:0:13:550, 2185 
0:0:13:565, 2190 
0:0:13:580, 2185 
0:0:13:596, 2145 
0:0:13:612, 2115 
0:0:13:628, 2080 
0:0:13:644, 2020 
0:0:13:660, 1973 
0:0:13:676, 1922 
0:0:13:692, 1867 
0:0:13:708, 1812 
0:0:13:724, 1763 
0:0:13:740, 1699 
0:0:13:756, 1630 
0:0:13:772, 1568 
0:0:13:787, 1508 
0:0:13:802, 1454 
0:0:13:818, 1401 
0:0:13:834, 1374 
0:0:13:850, 1347 
0:0:13:865, 1330 
0:0:13:881, 1315 
0:0:13:896, 1300 
0:0:13:911, 1286 
0:0:13:927, 1266 
0:0:13:943, 1257 
0:0:13:959, 1248 
0:0:13:975, 1232 
0:0:13:990, 1225 
0:0:14:6, 1217 
0:0:14:21, 1219 
0:0:14:36, 1253 
0:0:14:52, 1398 
0:0:14:68, 1775 
0:0:14:84, 2172 
0:0:14:100, 2560 
0:0:14:116, 2866 
0:0:14:132, 3091 
0:0:14:148, 3158 
0:0:14:164, 3138 
0:0:14:180, 3042 
0:0:14:196, 2945 
0:0:14:212, 2837 
0:0:14:228, 2730 
0:0:14:244, 2651 
0:0:14:259, 2546 
0:0:14:274, 2458 
0:0:14:289, 2342 
0:0:14:305, 2231 
0:0:14:321, 2135 
0:0:14:337, 2072 
0:0:14:353, 2051 
0:0:14:369, 2077 
0:0:14:385, 2119 
0:0:14:401, 2144 
0:0:14:417, 2147 
0:0:14:433, 2131 
0:0:14:448, 2108 
0:0:14:464, 2071 
0:0:14:479, 2019 
0:0:14:494, 1955 
0:0:14:509, 1886 
