Time, Data
0:0:5:983, 2338 
0:0:5:999, 2216 
0:0:6:14, 2113 
0:0:6:30, 2026 
0:0:6:46, 2002 
0:0:6:61, 2025 
0:0:6:76, 2052 
0:0:6:91, 2077 
0:0:6:107, 2097 
0:0:6:122, 2086 
0:0:6:138, 2050 
0:0:6:154, 1993 
0:0:6:169, 1942 
0:0:6:185, 1897 
0:0:6:201, 1824 
0:0:6:217, 1751 
0:0:6:233, 1703 
0:0:6:248, 1650 
0:0:6:264, 1615 
0:0:6:280, 1581 
0:0:6:295, 1544 
0:0:6:310, 1484 
0:0:6:326, 1439 
0:0:6:342, 1392 
0:0:6:358, 1351 
0:0:6:373, 1338 
0:0:6:389, 1323 
0:0:6:404, 1309 
0:0:6:419, 1336 
0:0:6:435, 1530 
0:0:6:450, 1822 
0:0:6:465, 2191 
0:0:6:480, 2561 
0:0:6:496, 2945 
0:0:6:512, 3177 
0:0:6:527, 3243 
0:0:6:542, 3208 
0:0:6:558, 3113 
0:0:6:573, 3017 
0:0:6:588, 2871 
0:0:6:604, 2727 
0:0:6:619, 2594 
0:0:6:635, 2466 
0:0:6:650, 2336 
0:0:6:665, 2219 
0:0:6:681, 2152 
0:0:6:697, 2089 
0:0:6:713, 2075 
0:0:6:729, 2088 
0:0:6:745, 2101 
0:0:6:760, 2121 
0:0:6:775, 2130 
0:0:6:791, 2088 
0:0:6:807, 2022 
0:0:6:823, 1949 
0:0:6:838, 1887 
0:0:6:853, 1825 
0:0:6:869, 1757 
0:0:6:885, 1674 
0:0:6:901, 1601 
0:0:6:916, 1531 
0:0:6:932, 1484 
0:0:6:947, 1432 
0:0:6:963, 1377 
0:0:6:979, 1341 
0:0:6:994, 1317 
0:0:7:9, 1299 
0:0:7:24, 1279 
0:0:7:39, 1253 
0:0:7:55, 1222 
0:0:7:71, 1201 
0:0:7:87, 1168 
0:0:7:103, 1158 
0:0:7:119, 1196 
0:0:7:135, 1403 
0:0:7:151, 1733 
0:0:7:167, 2147 
0:0:7:182, 2595 
0:0:7:198, 3065 
0:0:7:214, 3310 
0:0:7:229, 3443 
0:0:7:244, 3496 
0:0:7:260, 3465 
0:0:7:276, 3352 
0:0:7:292, 3226 
0:0:7:308, 3097 
0:0:7:323, 2959 
0:0:7:338, 2830 
0:0:7:354, 2681 
0:0:7:370, 2556 
0:0:7:385, 2450 
0:0:7:401, 2370 
0:0:7:416, 2324 
0:0:7:431, 2291 
0:0:7:446, 2271 
0:0:7:461, 2270 
0:0:7:476, 2272 
0:0:7:492, 2248 
0:0:7:507, 2218 
0:0:7:523, 2148 
0:0:7:539, 2078 
0:0:7:554, 1974 
0:0:7:570, 1881 
0:0:7:586, 1785 
0:0:7:602, 1712 
0:0:7:617, 1637 
0:0:7:633, 1582 
0:0:7:649, 1495 
0:0:7:664, 1445 
0:0:7:679, 1391 
0:0:7:694, 1338 
0:0:7:709, 1293 
0:0:7:725, 1250 
0:0:7:740, 1227 
0:0:7:756, 1218 
0:0:7:772, 1206 
0:0:7:788, 1185 
0:0:7:804, 1156 
0:0:7:819, 1172 
0:0:7:835, 1277 
0:0:7:851, 1523 
0:0:7:867, 2016 
0:0:7:882, 2443 
0:0:7:898, 2836 
0:0:7:914, 3193 
0:0:7:929, 3378 
0:0:7:944, 3420 
0:0:7:960, 3386 
0:0:7:976, 3255 
0:0:7:992, 3132 
0:0:8:8, 2959 
0:0:8:23, 2841 
0:0:8:39, 2756 
0:0:8:54, 2592 
0:0:8:69, 2498 
0:0:8:85, 2368 
0:0:8:101, 2256 
0:0:8:116, 2197 
0:0:8:132, 2172 
0:0:8:147, 2164 
0:0:8:162, 2155 
0:0:8:177, 2136 
0:0:8:192, 2120 
0:0:8:208, 2095 
0:0:8:225, 2051 
0:0:8:240, 1992 
0:0:8:255, 1932 
0:0:8:271, 1830 
0:0:8:287, 1741 
0:0:8:303, 1621 
0:0:8:318, 1533 
0:0:8:334, 1450 
0:0:8:350, 1398 
0:0:8:366, 1344 
0:0:8:382, 1294 
0:0:8:397, 1242 
0:0:8:412, 1204 
0:0:8:427, 1171 
0:0:8:442, 1161 
0:0:8:458, 1151 
0:0:8:474, 1136 
0:0:8:490, 1109 
0:0:8:506, 1061 
0:0:8:522, 1033 
0:0:8:537, 1096 
0:0:8:552, 1369 
0:0:8:568, 1739 
0:0:8:584, 2299 
0:0:8:599, 2703 
0:0:8:615, 3041 
0:0:8:630, 3228 
0:0:8:645, 3296 
0:0:8:661, 3303 
0:0:8:677, 3233 
0:0:8:693, 3142 
0:0:8:709, 3011 
0:0:8:724, 2865 
0:0:8:739, 2710 
