Time, Data
0:0:8:496, 1456 
0:0:8:511, 1391 
0:0:8:528, 1345 
0:0:8:543, 1317 
0:0:8:559, 1296 
0:0:8:575, 1292 
0:0:8:591, 1282 
0:0:8:607, 1279 
0:0:8:622, 1279 
0:0:8:638, 1276 
0:0:8:654, 1272 
0:0:8:670, 1273 
0:0:8:686, 1274 
0:0:8:702, 1269 
0:0:8:717, 1265 
0:0:8:732, 1256 
0:0:8:747, 1279 
0:0:8:763, 1395 
0:0:8:778, 1578 
0:0:8:793, 1771 
0:0:8:809, 2083 
0:0:8:825, 2425 
0:0:8:840, 2759 
0:0:8:855, 3070 
0:0:8:871, 3251 
0:0:8:887, 3376 
0:0:8:902, 3404 
0:0:8:918, 3378 
0:0:8:934, 3289 
0:0:8:949, 3190 
0:0:8:964, 3074 
0:0:8:979, 2946 
0:0:8:995, 2804 
0:0:9:10, 2663 
0:0:9:26, 2566 
0:0:9:42, 2452 
0:0:9:57, 2351 
0:0:9:72, 2290 
0:0:9:87, 2231 
0:0:9:102, 2194 
0:0:9:118, 2141 
0:0:9:133, 2094 
0:0:9:149, 2026 
0:0:9:165, 1977 
0:0:9:180, 1943 
0:0:9:195, 1874 
0:0:9:211, 1830 
0:0:9:227, 1766 
0:0:9:243, 1700 
0:0:9:259, 1637 
0:0:9:275, 1582 
0:0:9:291, 1517 
0:0:9:306, 1464 
0:0:9:322, 1418 
0:0:9:338, 1373 
0:0:9:354, 1337 
0:0:9:369, 1299 
0:0:9:385, 1266 
0:0:9:401, 1242 
0:0:9:416, 1215 
0:0:9:431, 1192 
0:0:9:447, 1169 
0:0:9:463, 1174 
0:0:9:479, 1190 
0:0:9:495, 1189 
0:0:9:511, 1192 
0:0:9:526, 1212 
0:0:9:542, 1312 
0:0:9:558, 1488 
0:0:9:574, 1732 
0:0:9:590, 2113 
0:0:9:606, 2412 
0:0:9:622, 2709 
0:0:9:638, 2884 
0:0:9:653, 3038 
0:0:9:668, 3089 
0:0:9:684, 3091 
0:0:9:699, 3025 
0:0:9:715, 2936 
0:0:9:730, 2829 
0:0:9:745, 2722 
0:0:9:761, 2600 
0:0:9:777, 2458 
0:0:9:793, 2350 
0:0:9:809, 2237 
0:0:9:825, 2188 
0:0:9:840, 2139 
0:0:9:856, 2067 
0:0:9:872, 2041 
0:0:9:887, 2032 
0:0:9:902, 2032 
0:0:9:918, 2022 
0:0:9:934, 1999 
0:0:9:950, 1975 
0:0:9:966, 1915 
0:0:9:982, 1858 
0:0:9:997, 1789 
0:0:10:13, 1727 
0:0:10:28, 1686 
0:0:10:44, 1642 
0:0:10:59, 1604 
0:0:10:75, 1563 
0:0:10:91, 1513 
0:0:10:107, 1476 
0:0:10:122, 1454 
0:0:10:137, 1433 
0:0:10:153, 1405 
0:0:10:169, 1383 
0:0:10:184, 1359 
0:0:10:199, 1341 
0:0:10:215, 1336 
0:0:10:231, 1363 
0:0:10:246, 1422 
0:0:10:262, 1551 
0:0:10:278, 1806 
0:0:10:294, 2078 
0:0:10:311, 2428 
0:0:10:327, 2683 
0:0:10:343, 2901 
0:0:10:358, 3006 
0:0:10:373, 3053 
0:0:10:388, 3039 
0:0:10:403, 2979 
0:0:10:419, 2902 
0:0:10:435, 2803 
0:0:10:451, 2710 
0:0:10:466, 2631 
0:0:10:482, 2486 
0:0:10:497, 2369 
0:0:10:513, 2261 
0:0:10:529, 2149 
0:0:10:545, 2085 
0:0:10:561, 2037 
0:0:10:576, 2010 
0:0:10:591, 1996 
0:0:10:606, 1964 
0:0:10:621, 1931 
0:0:10:636, 1899 
0:0:10:652, 1840 
0:0:10:668, 1790 
0:0:10:684, 1739 
0:0:10:700, 1674 
0:0:10:716, 1642 
0:0:10:732, 1605 
0:0:10:747, 1556 
0:0:10:762, 1519 
0:0:10:778, 1483 
0:0:10:794, 1466 
0:0:10:809, 1445 
0:0:10:824, 1419 
0:0:10:839, 1400 
0:0:10:854, 1388 
0:0:10:870, 1373 
0:0:10:886, 1355 
0:0:10:902, 1333 
0:0:10:918, 1323 
0:0:10:934, 1343 
0:0:10:950, 1385 
0:0:10:966, 1477 
0:0:10:982, 1706 
0:0:10:998, 1964 
0:0:11:13, 2345 
0:0:11:28, 2564 
0:0:11:44, 2880 
0:0:11:59, 3050 
0:0:11:74, 3129 
0:0:11:89, 3144 
0:0:11:105, 3128 
0:0:11:121, 3051 
0:0:11:137, 2982 
0:0:11:152, 2905 
0:0:11:168, 2801 
0:0:11:184, 2680 
0:0:11:199, 2571 
0:0:11:215, 2462 
0:0:11:230, 2351 
0:0:11:246, 2280 
0:0:11:262, 2203 
0:0:11:278, 2163 
0:0:11:293, 2155 
0:0:11:308, 2150 
0:0:11:324, 2134 
0:0:11:339, 2122 
0:0:11:354, 2102 
0:0:11:370, 2069 
0:0:11:386, 2028 
0:0:11:401, 1966 
0:0:11:417, 1918 
0:0:11:433, 1847 
0:0:11:449, 1783 
0:0:11:465, 1739 
0:0:11:481, 1692 
0:0:11:497, 1639 
0:0:11:513, 1587 
0:0:11:528, 1543 
0:0:11:543, 1499 
0:0:11:559, 1466 
0:0:11:574, 1446 
0:0:11:589, 1420 
0:0:11:605, 1395 
0:0:11:621, 1357 
0:0:11:637, 1320 
0:0:11:653, 1299 
0:0:11:669, 1301 
0:0:11:685, 1382 
0:0:11:700, 1470 
0:0:11:715, 1643 
0:0:11:730, 1884 
0:0:11:745, 2155 
0:0:11:760, 2490 
0:0:11:775, 2730 
0:0:11:790, 2873 
0:0:11:806, 2944 
0:0:11:822, 2953 
0:0:11:838, 2929 
0:0:11:854, 2879 
0:0:11:869, 2807 
0:0:11:884, 2743 
0:0:11:899, 2659 
0:0:11:915, 2563 
0:0:11:931, 2443 
0:0:11:947, 2314 
0:0:11:963, 2235 
0:0:11:979, 2159 
0:0:11:994, 2114 
0:0:12:10, 2096 
0:0:12:26, 2082 
0:0:12:42, 2077 
0:0:12:58, 2060 
0:0:12:74, 2053 
0:0:12:89, 2041 
0:0:12:104, 2014 
0:0:12:120, 2000 
0:0:12:135, 1973 
0:0:12:151, 1928 
0:0:12:167, 1868 
0:0:12:183, 1819 
0:0:12:199, 1765 
0:0:12:215, 1723 
0:0:12:230, 1661 
0:0:12:245, 1633 
0:0:12:261, 1618 
0:0:12:276, 1587 
0:0:12:292, 1569 
0:0:12:307, 1545 
0:0:12:323, 1528 
0:0:12:339, 1511 
0:0:12:354, 1490 
0:0:12:370, 1498 
0:0:12:386, 1561 
0:0:12:402, 1667 
0:0:12:417, 1831 
0:0:12:432, 2031 
0:0:12:448, 2305 
0:0:12:463, 2497 
0:0:12:478, 2666 
0:0:12:494, 2748 
0:0:12:509, 2760 
0:0:12:525, 2741 
0:0:12:541, 2697 
0:0:12:557, 2641 
0:0:12:573, 2567 
0:0:12:589, 2480 
0:0:12:605, 2390 
0:0:12:621, 2270 
0:0:12:637, 2193 
0:0:12:653, 2126 
0:0:12:668, 2059 
0:0:12:683, 2015 
0:0:12:698, 1989 
0:0:12:713, 1986 
0:0:12:729, 1964 
0:0:12:745, 1953 
0:0:12:761, 1925 
0:0:12:776, 1896 
0:0:12:792, 1867 
0:0:12:809, 1828 
0:0:12:825, 1809 
0:0:12:841, 1787 
0:0:12:857, 1748 
0:0:12:873, 1709 
0:0:12:889, 1665 
0:0:12:904, 1610 
0:0:12:920, 1564 
0:0:12:935, 1538 
0:0:12:950, 1526 
0:0:12:966, 1518 
0:0:12:982, 1517 
0:0:12:997, 1521 
0:0:13:13, 1516 
0:0:13:29, 1521 
0:0:13:44, 1539 
0:0:13:60, 1590 
0:0:13:76, 1689 
0:0:13:92, 1840 
0:0:13:108, 2043 
0:0:13:124, 2323 
0:0:13:140, 2518 
0:0:13:156, 2650 
0:0:13:171, 2766 
0:0:13:186, 2806 
0:0:13:202, 2811 
0:0:13:218, 2784 
0:0:13:234, 2736 
0:0:13:250, 2655 
0:0:13:266, 2584 
0:0:13:282, 2478 
0:0:13:298, 2419 
0:0:13:313, 2343 
0:0:13:329, 2265 
0:0:13:345, 2191 
0:0:13:361, 2158 
0:0:13:377, 2131 
0:0:13:393, 2101 
0:0:13:408, 2083 
0:0:13:423, 2066 
0:0:13:439, 2070 
0:0:13:455, 2053 
0:0:13:471, 2025 
0:0:13:487, 1994 
0:0:13:503, 1939 
0:0:13:519, 1909 
0:0:13:535, 1874 
0:0:13:551, 1843 
0:0:13:567, 1821 
0:0:13:582, 1782 
0:0:13:597, 1745 
0:0:13:612, 1713 
0:0:13:628, 1677 
0:0:13:643, 1638 
0:0:13:658, 1599 
0:0:13:674, 1560 
0:0:13:690, 1540 
0:0:13:706, 1532 
0:0:13:722, 1528 
0:0:13:738, 1517 
0:0:13:754, 1575 
0:0:13:770, 1656 
0:0:13:785, 1825 
0:0:13:800, 2039 
0:0:13:816, 2331 
0:0:13:832, 2548 
0:0:13:847, 2734 
0:0:13:863, 2842 
0:0:13:878, 2875 
0:0:13:893, 2885 
0:0:13:909, 2870 
0:0:13:924, 2831 
0:0:13:940, 2795 
0:0:13:956, 2748 
0:0:13:972, 2675 
0:0:13:988, 2602 
0:0:14:3, 2513 
0:0:14:19, 2400 
0:0:14:35, 2300 
0:0:14:51, 2213 
0:0:14:66, 2149 
0:0:14:82, 2101 
0:0:14:97, 2092 
0:0:14:113, 2089 
0:0:14:128, 2080 
0:0:14:144, 2058 
0:0:14:160, 2013 
0:0:14:176, 1982 
0:0:14:192, 1941 
0:0:14:208, 1884 
0:0:14:224, 1830 
0:0:14:240, 1775 
0:0:14:256, 1705 
0:0:14:271, 1683 
0:0:14:287, 1633 
0:0:14:302, 1600 
0:0:14:317, 1568 
0:0:14:333, 1547 
0:0:14:348, 1524 
0:0:14:363, 1510 
0:0:14:379, 1497 
0:0:14:395, 1485 
0:0:14:411, 1478 
0:0:14:427, 1464 
0:0:14:443, 1446 
0:0:14:458, 1438 
0:0:14:473, 1447 
0:0:14:489, 1518 
0:0:14:504, 1645 
0:0:14:519, 1821 
0:0:14:535, 2094 
0:0:14:550, 2300 
0:0:14:566, 2519 
0:0:14:581, 2590 
0:0:14:596, 2630 
0:0:14:612, 2645 
0:0:14:628, 2629 
0:0:14:644, 2600 
0:0:14:660, 2549 
0:0:14:675, 2484 
0:0:14:691, 2414 
0:0:14:706, 2302 
0:0:14:722, 2210 
0:0:14:738, 2104 
0:0:14:754, 2008 
0:0:14:770, 1952 
0:0:14:786, 1930 
0:0:14:802, 1933 
0:0:14:817, 1940 
0:0:14:832, 1941 
0:0:14:847, 1933 
0:0:14:863, 1909 
0:0:14:879, 1876 
0:0:14:895, 1825 
0:0:14:910, 1785 
0:0:14:925, 1759 
0:0:14:941, 1719 
0:0:14:957, 1678 
0:0:14:973, 1640 
0:0:14:988, 1604 
0:0:15:4, 1563 
0:0:15:20, 1530 
0:0:15:36, 1515 
0:0:15:51, 1497 
0:0:15:66, 1466 
0:0:15:81, 1441 
0:0:15:97, 1415 
0:0:15:113, 1408 
0:0:15:128, 1410 
0:0:15:144, 1399 
0:0:15:160, 1381 
0:0:15:176, 1359 
0:0:15:191, 1343 
0:0:15:206, 1340 
0:0:15:222, 1375 
0:0:15:238, 1458 
0:0:15:254, 1629 
0:0:15:270, 1840 
0:0:15:285, 2059 
0:0:15:300, 2250 
0:0:15:315, 2429 
0:0:15:331, 2480 
0:0:15:345, 2514 
0:0:15:363, 2506 
0:0:15:379, 2469 
0:0:15:395, 2439 
0:0:15:411, 2394 
0:0:15:427, 2343 
0:0:15:443, 2280 
0:0:15:459, 2206 
0:0:15:474, 2161 
0:0:15:490, 2113 
0:0:15:506, 2042 
0:0:15:521, 1999 
0:0:15:536, 1961 
0:0:15:552, 1963 
0:0:15:568, 1955 
0:0:15:584, 1933 
0:0:15:599, 1921 
0:0:15:615, 1905 
0:0:15:630, 1882 
0:0:15:645, 1866 
0:0:15:661, 1838 
0:0:15:676, 1792 
0:0:15:691, 1762 
0:0:15:706, 1730 
0:0:15:722, 1698 
0:0:15:738, 1667 
0:0:15:753, 1630 
0:0:15:768, 1609 
0:0:15:784, 1588 
0:0:15:800, 1558 
0:0:15:816, 1540 
0:0:15:832, 1522 
0:0:15:847, 1506 
0:0:15:862, 1501 
0:0:15:878, 1490 
0:0:15:893, 1479 
0:0:15:908, 1480 
0:0:15:923, 1479 
0:0:15:939, 1459 
0:0:15:955, 1469 
0:0:15:971, 1496 
0:0:15:986, 1559 
0:0:16:2, 1709 
0:0:16:18, 1833 
0:0:16:34, 2033 
0:0:16:50, 2219 
0:0:16:66, 2408 
0:0:16:81, 2474 
0:0:16:97, 2523 
0:0:16:112, 2548 
0:0:16:127, 2545 
0:0:16:142, 2519 
0:0:16:158, 2483 
0:0:16:174, 2424 
0:0:16:190, 2359 
0:0:16:206, 2284 
0:0:16:221, 2248 
0:0:16:236, 2176 
0:0:16:252, 2110 
0:0:16:273, 2048 
0:0:16:283, 2022 
0:0:16:299, 2012 
0:0:16:315, 2012 
0:0:16:331, 2013 
0:0:16:346, 2011 
0:0:16:361, 1993 
0:0:16:377, 1959 
0:0:16:393, 1930 
0:0:16:409, 1875 
0:0:16:425, 1855 
0:0:16:441, 1820 
0:0:16:456, 1776 
0:0:16:471, 1750 
0:0:16:487, 1705 
0:0:16:502, 1688 
0:0:16:518, 1674 
0:0:16:533, 1646 
0:0:16:548, 1626 
0:0:16:564, 1587 
0:0:16:580, 1565 
0:0:16:596, 1541 
0:0:16:612, 1526 
0:0:16:628, 1504 
0:0:16:643, 1494 
0:0:16:659, 1484 
0:0:16:675, 1485 
0:0:16:690, 1487 
0:0:16:705, 1479 
0:0:16:721, 1483 
0:0:16:737, 1518 
0:0:16:753, 1576 
0:0:16:769, 1743 
