Time, Data
0:0:10:61, 1615 
0:0:10:76, 1605 
0:0:10:91, 1597 
0:0:10:106, 1597 
0:0:10:122, 1605 
0:0:10:138, 1672 
0:0:10:154, 1775 
0:0:10:170, 1894 
0:0:10:186, 2033 
0:0:10:202, 2092 
0:0:10:218, 2164 
0:0:10:233, 2192 
0:0:10:248, 2196 
0:0:10:263, 2196 
0:0:10:278, 2181 
0:0:10:293, 2161 
0:0:10:309, 2158 
0:0:10:325, 2162 
0:0:10:340, 2176 
0:0:10:355, 2185 
0:0:10:371, 2180 
0:0:10:387, 2169 
0:0:10:403, 2146 
0:0:10:418, 2125 
0:0:10:433, 2093 
0:0:10:449, 2055 
0:0:10:465, 2029 
0:0:10:480, 2011 
0:0:10:495, 2007 
0:0:10:510, 2016 
0:0:10:526, 2016 
0:0:10:542, 2007 
0:0:10:558, 1975 
0:0:10:574, 1949 
0:0:10:590, 1927 
0:0:10:606, 1895 
0:0:10:621, 1876 
0:0:10:637, 1859 
0:0:10:653, 1840 
0:0:10:669, 1824 
0:0:10:685, 1807 
0:0:10:701, 1804 
0:0:10:716, 1805 
0:0:10:731, 1799 
0:0:10:746, 1795 
0:0:10:762, 1776 
0:0:10:778, 1758 
0:0:10:794, 1737 
0:0:10:810, 1735 
0:0:10:826, 1729 
0:0:10:841, 1728 
0:0:10:856, 1723 
0:0:10:872, 1716 
0:0:10:888, 1713 
0:0:10:904, 1700 
0:0:10:919, 1691 
0:0:10:935, 1684 
0:0:10:951, 1681 
0:0:10:966, 1680 
0:0:10:981, 1674 
0:0:10:997, 1658 
0:0:11:13, 1652 
0:0:11:28, 1682 
0:0:11:44, 1774 
0:0:11:60, 1893 
0:0:11:76, 2014 
0:0:11:92, 2139 
0:0:11:108, 2213 
0:0:11:124, 2239 
0:0:11:140, 2241 
0:0:11:156, 2232 
0:0:11:172, 2220 
0:0:11:187, 2217 
0:0:11:202, 2221 
0:0:11:217, 2230 
0:0:11:232, 2247 
0:0:11:247, 2261 
0:0:11:263, 2268 
0:0:11:279, 2259 
0:0:11:295, 2244 
0:0:11:311, 2232 
0:0:11:327, 2222 
0:0:11:343, 2208 
0:0:11:359, 2194 
0:0:11:374, 2178 
0:0:11:390, 2140 
