Time, Data
0:0:5:340, 1797 
0:0:5:356, 1796 
0:0:5:371, 1794 
0:0:5:387, 1794 
0:0:5:403, 1809 
0:0:5:418, 1840 
0:0:5:434, 1913 
0:0:5:449, 2018 
0:0:5:465, 2108 
0:0:5:480, 2222 
0:0:5:496, 2362 
0:0:5:512, 2393 
0:0:5:527, 2404 
0:0:5:543, 2393 
0:0:5:559, 2362 
0:0:5:575, 2307 
0:0:5:590, 2245 
0:0:5:606, 2179 
0:0:5:621, 2105 
0:0:5:637, 2057 
0:0:5:653, 2048 
0:0:5:668, 2065 
0:0:5:684, 2089 
0:0:5:700, 2099 
0:0:5:715, 2093 
0:0:5:730, 2078 
0:0:5:746, 2061 
0:0:5:761, 2043 
0:0:5:776, 2015 
0:0:5:792, 1979 
0:0:5:807, 1951 
0:0:5:823, 1931 
0:0:5:839, 1900 
0:0:5:854, 1889 
0:0:5:869, 1878 
0:0:5:885, 1860 
0:0:5:900, 1848 
0:0:5:916, 1838 
0:0:5:932, 1828 
0:0:5:947, 1819 
0:0:5:963, 1813 
0:0:5:978, 1808 
0:0:5:994, 1803 
0:0:6:9, 1799 
0:0:6:25, 1798 
0:0:6:41, 1810 
0:0:6:57, 1861 
0:0:6:73, 1994 
0:0:6:88, 2109 
0:0:6:103, 2224 
0:0:6:119, 2359 
0:0:6:135, 2395 
0:0:6:151, 2375 
0:0:6:167, 2340 
0:0:6:182, 2318 
0:0:6:197, 2258 
0:0:6:212, 2204 
0:0:6:227, 2136 
0:0:6:243, 2089 
0:0:6:258, 2046 
0:0:6:273, 2031 
0:0:6:288, 2029 
0:0:6:304, 2031 
0:0:6:320, 2043 
0:0:6:335, 2064 
0:0:6:351, 2078 
0:0:6:366, 2079 
0:0:6:382, 2072 
0:0:6:398, 2055 
0:0:6:413, 2028 
0:0:6:428, 2001 
0:0:6:444, 1966 
0:0:6:460, 1932 
0:0:6:475, 1900 
0:0:6:491, 1888 
0:0:6:506, 1871 
0:0:6:522, 1852 
0:0:6:537, 1835 
0:0:6:552, 1821 
0:0:6:568, 1810 
0:0:6:584, 1804 
0:0:6:599, 1803 
0:0:6:615, 1802 
0:0:6:630, 1800 
0:0:6:646, 1798 
0:0:6:662, 1796 
0:0:6:677, 1793 
0:0:6:693, 1788 
0:0:6:709, 1785 
0:0:6:725, 1793 
0:0:6:740, 1840 
0:0:6:756, 1918 
0:0:6:771, 1971 
0:0:6:786, 2092 
0:0:6:802, 2214 
0:0:6:817, 2316 
0:0:6:833, 2404 
0:0:6:848, 2422 
0:0:6:864, 2394 
0:0:6:879, 2344 
0:0:6:894, 2308 
0:0:6:909, 2244 
0:0:6:925, 2183 
0:0:6:941, 2136 
0:0:6:956, 2084 
0:0:6:987, 2069 
0:0:7:2, 2081 
0:0:7:18, 2097 
0:0:7:34, 2111 
0:0:7:50, 2119 
0:0:7:66, 2116 
0:0:7:81, 2102 
0:0:7:96, 2092 
0:0:7:112, 2065 
0:0:7:127, 2042 
0:0:7:142, 2010 
0:0:7:158, 1995 
0:0:7:174, 1970 
0:0:7:189, 1946 
0:0:7:205, 1923 
0:0:7:221, 1909 
0:0:7:236, 1889 
0:0:7:252, 1877 
0:0:7:267, 1866 
0:0:7:283, 1852 
0:0:7:300, 1835 
0:0:7:315, 1824 
0:0:7:331, 1815 
0:0:7:347, 1807 
0:0:7:363, 1803 
0:0:7:378, 1797 
0:0:7:393, 1793 
0:0:7:409, 1790 
0:0:7:425, 1786 
0:0:7:441, 1781 
0:0:7:456, 1778 
0:0:7:472, 1776 
0:0:7:487, 1783 
0:0:7:502, 1813 
0:0:7:518, 1901 
0:0:7:533, 2041 
0:0:7:547, 2202 
0:0:7:563, 2366 
0:0:7:578, 2434 
0:0:7:593, 2437 
0:0:7:609, 2433 
0:0:7:624, 2423 
0:0:7:640, 2398 
0:0:7:655, 2377 
0:0:7:672, 2329 
0:0:7:688, 2289 
0:0:7:704, 2248 
0:0:7:720, 2191 
0:0:7:735, 2137 
0:0:7:751, 2092 
0:0:7:767, 2062 
0:0:7:783, 2048 
0:0:7:799, 2049 
0:0:7:815, 2059 
0:0:7:830, 2081 
0:0:7:845, 2091 
0:0:7:861, 2098 
0:0:7:877, 2099 
0:0:7:893, 2094 
0:0:7:908, 2088 
0:0:7:924, 2067 
0:0:7:939, 2042 
0:0:7:955, 2008 
0:0:7:972, 1987 
0:0:7:987, 1965 
0:0:8:2, 1945 
0:0:8:17, 1925 
0:0:8:33, 1907 
0:0:8:49, 1896 
0:0:8:64, 1876 
0:0:8:79, 1862 
0:0:8:95, 1854 
0:0:8:110, 1845 
0:0:8:125, 1831 
0:0:8:140, 1822 
0:0:8:156, 1814 
0:0:8:172, 1809 
0:0:8:187, 1806 
0:0:8:203, 1803 
0:0:8:218, 1798 
0:0:8:233, 1795 
0:0:8:249, 1793 
0:0:8:264, 1793 
0:0:8:279, 1791 
0:0:8:295, 1787 
0:0:8:310, 1786 
0:0:8:326, 1784 
0:0:8:341, 1798 
0:0:8:357, 1856 
0:0:8:372, 1970 
0:0:8:387, 2117 
0:0:8:403, 2281 
0:0:8:418, 2364 
0:0:8:434, 2395 
0:0:8:449, 2397 
0:0:8:464, 2388 
0:0:8:480, 2356 
0:0:8:496, 2335 
0:0:8:512, 2299 
0:0:8:528, 2259 
0:0:8:544, 2201 
0:0:8:560, 2144 
0:0:8:576, 2116 
0:0:8:591, 2079 
0:0:8:607, 2049 
0:0:8:622, 2027 
0:0:8:637, 2018 
0:0:8:653, 2021 
0:0:8:668, 2037 
0:0:8:684, 2065 
0:0:8:699, 2084 
0:0:8:715, 2095 
0:0:8:730, 2095 
0:0:8:746, 2083 
0:0:8:761, 2064 
0:0:8:777, 2040 
0:0:8:793, 2008 
0:0:8:808, 1988 
0:0:8:824, 1955 
0:0:8:839, 1922 
0:0:8:855, 1904 
0:0:8:871, 1880 
0:0:8:886, 1860 
0:0:8:902, 1844 
0:0:8:917, 1833 
0:0:8:932, 1827 
0:0:8:947, 1821 
0:0:8:963, 1818 
0:0:8:978, 1813 
0:0:8:994, 1810 
0:0:9:10, 1809 
0:0:9:26, 1816 
0:0:9:41, 1846 
0:0:9:57, 1955 
0:0:9:72, 2097 
0:0:9:87, 2186 
0:0:9:103, 2293 
0:0:9:119, 2379 
0:0:9:135, 2416 
0:0:9:150, 2413 
0:0:9:166, 2396 
0:0:9:181, 2379 
0:0:9:196, 2379 
0:0:9:212, 2358 
0:0:9:228, 2310 
0:0:9:243, 2243 
0:0:9:259, 2174 
0:0:9:275, 2123 
0:0:9:291, 2067 
0:0:9:306, 2048 
0:0:9:322, 2057 
0:0:9:338, 2081 
0:0:9:353, 2104 
0:0:9:369, 2117 
0:0:9:385, 2110 
0:0:9:401, 2083 
0:0:9:417, 2037 
0:0:9:432, 2000 
0:0:9:448, 1949 
0:0:9:463, 1910 
0:0:9:478, 1877 
0:0:9:493, 1853 
0:0:9:508, 1836 
0:0:9:523, 1827 
0:0:9:539, 1819 
0:0:9:555, 1815 
0:0:9:571, 1813 
0:0:9:587, 1824 
0:0:9:602, 1874 
0:0:9:617, 2037 
0:0:9:632, 2218 
0:0:9:647, 2371 
0:0:9:662, 2433 
0:0:9:677, 2416 
0:0:9:692, 2356 
